text;label
Quantification over names and modalities (Co-authors: Eric Martin, Conference: Advances in Modal Logic);00
Absolute Versus Probabilistic Classification in a Logical Setting (Co-authors: Sanjay Jain, Eric Martin, Frank Stephan, Conference: ALT);00
Learning, Logic, and Topology in a Common Framework (Co-authors: Eric Martin, Arun Sharma, Frank Stephan, Conference: ALT);00
On Ordinal VC-Dimension and Some Notions of Complexity (Co-authors: Eric Martin, Arun Sharma, Frank Stephan, Conference: ALT);00
On the Data Consumption Benefits of Accepting Increased Uncertainty (Co-authors: Eric Martin, Arun Sharma, Frank Stephan, Conference: ALT);00
Foundations for a Formalism of Nearness (Co-authors: Jane Brennan, Eric Martin, Conference: Australian Joint Conference on Artificial Intelligence);00
Membership Functions for Spatial Proximity (Co-authors: Jane Brennan, Eric Martin, Conference: Australian Conference on Artificial Intelligence);00
Input-Dependence in Function-Learning (Co-authors: Sanjay Jain, Eric Martin, Frank Stephan, Conference: CiE);00
Memory accesses management during high level synthesis (Co-authors: Gwenole Corre, Eric Senn, Pierre Bomel, Nathalie Julien, Eric Martin, Conference: CODES+ISSS);01
On a Syntactic Characterization of Classification with a Mind Change Bound (Co-authors: Eric Martin, Arun Sharma, Conference: COLT);00
A Multi-Level Design Flow for Incorporating IP Cores: Case Study of 1D Wavelet IP Integration (Co-authors: Adel Baganne, Imed Bennour, Mehrez Elmarzougui, Riadh Gaiech, Eric Martin, Conference: DATE);01
Synchronization Processor Synthesis for Latency Insensitive Systems (Co-authors: Pierre Bomel, Eric Martin, Emmanuel Boutillon, Conference: DATE);01
Functional Level Power Analysis: An Efficient Approach for Modeling the Power Consumption of Complex Processors (Co-authors: Johann Laurent, Nathalie Julien, Eric Senn, Eric Martin, Conference: DATE);01
On the Convergence of Incremental Knowledge Base Construction. (Co-authors: Tri M. Cao, Eric Martin, Paul Compton, Conference: Discovery Science);00
A General Theory of Deduction, Induction, and Learning (Co-authors: Eric Martin, Arun Sharma, Frank Stephan, Conference: Discovery Science);00
Learning from Each Other (Co-authors: Christopher Dartnell, Eric Martin, Jean Sallantin, Conference: Discovery Science);00
Power Consumption Characterization and Modeling of Embedded Memories in XILINX VIRTEX 400E FPGA (Co-authors: David Elleouet, Nathalie Julien, Dominique Houzet, J.-G. Cousin, Eric Martin, Conference: DSD);01
High-Level Synthesis in Latency Insensitive System Methodology (Co-authors: Pierre Bomel, Nabil Abdelli, Eric Martin, Anne-Marie Fouilliart, Emmanuel Boutillon, Philippe Kajfasz, Conference: DSD);01
Memory Aware HLS and the Implementation of Ageing Vectors (Co-authors: Gwenole Corre, Eric Senn, Nathalie Julien, Eric Martin, Conference: DSD);01
A Complete Methodology for Memory Optimization in DSP Applications (Co-authors: Florian Marteil, Nathalie Julien, Eric Senn, Eric Martin, Conference: DSD);01
A note on the use of probabilities by mechanical learners (Co-authors: Eric Martin, Daniel N. Osherson, Conference: EuroCOLT);00
Hardware interface design for real time embedded systems (Co-authors: Adel Baganne, Jean Luc Philippe, Eric Martin, Conference: Great Lakes Symposium on VLSI);01
A memory aware behavioral synthesis tool for real-time VLSI circuits (Co-authors: Gwenole Corre, Eric Senn, Nathalie Julien, Eric Martin, Conference: ACM Great Lakes Symposium on VLSI);01
Low Power Design of an Acoustic Echo Canceller Gmdf a Algorithm on Dedicated VLSI Architectures (Co-authors: S. Gailhard, Nathalie Julien, Adel Baganne, Eric Martin, Conference: Great Lakes Symposium on VLSI);01
How to Transform an Architectural Synthesis Tool for Low Power VLSI Designs (Co-authors: S. Gailhard, Nathalie Julien, Jean-Philippe Diguet, Eric Martin, Conference: Great Lakes Symposium on VLSI);01
A design methodology for space-time adapter (Co-authors: Cyrille Chavet, Philippe Coussy, Pascal Urard, Eric Martin, Conference: ACM Great Lakes Symposium on VLSI);01
Neural Network Based Algorithm for Radiation Dose Evaluation in Heterogeneous Environments (Co-authors: Jacques M. Bahi, Sylvain Contassot-Vivier, Libor Makovicka, Eric Martin, Marc Sauget, Conference: ICANN (2));02
A design flow dedicated to multi-mode architectures for DSP applications (Co-authors: Cyrille Chavet, Caaliph Andriamisaina, Philippe Coussy, Emmanuel Casseau, Emmanuel Juin, Pascal Urard, Eric Martin, Conference: ICCAD);01
Identifying Clusters from Positive Data (Co-authors: John Case, Sanjay Jain, Eric Martin, Arun Sharma, Frank Stephan, Conference: ICGI);00
Limiting Resolution: From Foundations to Implementation (Co-authors: Patrick Caldon, Eric Martin, Conference: ICLP);00
Learning in Logic with RichProlog (Co-authors: Eric Martin, Phuong Nguyen, Arun Sharma, Frank Stephan, Conference: ICLP);00
Autonomous Capture of a Tumbling Satellite (Co-authors: Guy Rouleau, Ioannis M. Rekleitis, Regent L'Archeveque, Eric Martin, Kourosh Parsa, Erick Dupuis, Conference: ICRA);03
A Vision System on Chip for Industrial Control (Co-authors: Eric Senn, Eric Martin, Conference: VLSI-SOC);01
Architectural Synthesis with Interconnection Cost Control (Co-authors: Christophe Jego, Emmanuel Casseau, Eric Martin, Conference: VLSI);01
On Sufficient Conditions for Learnability of Logic Programs from Positive Data (Co-authors: Eric Martin, Arun Sharma, Conference: ILP);00
Reed-Solomon behavioral virtual component for communication systems (Co-authors: Emmanuel Casseau, Bertrand Le Gal, Christophe Jego, Nathalie Le Heno, Eric Martin, Conference: ISCAS (4));01
High-level synthesis under I/O timing and memory constraints (Co-authors: Philippe Coussy, Gwenole Corre, Eric Senn, Pierre Bomel, Eric Martin, Conference: ISCAS (1));01
A design methodology for IP integration (Co-authors: Philippe Coussy, Adel Baganne, Eric Martin, Conference: ISCAS (4));01
A Methodology for Efficient Space-Time Adapter Design Space Exploration: A Case Study of an Ultra Wide Band Interleaver (Co-authors: Cyrille Chavet, Philippe Coussy, Pascal Urard, Eric Martin, Conference: ISCAS);01
Power Estimation of a C Algorithm Based on the Functional-Level Power Analysis of a Digital Signal Processor (Co-authors: Nathalie Julien, Johann Laurent, Eric Senn, Eric Martin, Conference: ISHPC);01
A Memory Aware High Level Synthesis Tool  (Co-authors: Gwenole Corre, Eric Senn, Nathalie Julien, Eric Martin, Conference: ISVLSI);01
