text,label
"The TMS390C602A Floating-Point Coprocessor for Sparc Systems (Co-authors: Merrick Darley, Bill Kronlage, Dvaid Bural, Bob Churchill, David Pulling, Paul Wang, Rick Iwamoto, Larry Yang, Conference: IEEE Micro)",82_6
"Model dependent inference of three-dimensional information from a sequence of two-dimensional images (Co-authors: Rakesh Kumar, Conference: null)",29_7
"A Hybrid Scheme for Temporal Video Segmentation (Co-authors: Hui Fang, Puteri Norhashimah, Jianmin Jiang, Yong Yin, Conference: DELTA)",103_1
"Preconditioning and convergence in the right norm (Co-authors: Raymond H. Chan, Ke Chen, Conference: Int. J. Comput. Math.)",58_8
"Research on Service Management Data Modeling Based on SID (Co-authors: Gang Chen, Baofei Yang, Wenan Zhou, Junde Song, Conference: VTC Fall)",108_17
"Construction of Low-Density Parity-Check Codes Based on Balanced Incomplete Block Designs (Co-authors: Bassem Ammar, Bahram Honary, Yu Kou, Jun Xu, Shu Lin, Conference: IEEE Transactions on Information Theory)",26_0
"Medical Segmentation Using Sobolev Optical Flow (Co-authors: Yang Yu, Hong Zhao, Conference: Proceedings of the Fourth International Conference on Image and Graphics)",90_3
"A Method of Video Quality Assessment Based on the Sensitive Region. (Co-authors: Junli Li, Guoqing Lu, Gang Chen, Jiaju Man, Conference: null)",108_18
"Speeding online synthesis via enforced selecto-recombination (Co-authors: Shunsuke Saruwatari, Xavier Llora, Noriko Imafuji Yasui, Hiroshi Tamura, Kumara Sastry, David E. Goldberg, Conference: GECCO)",34_0
"Cost-sensitive boosting for classification of imbalanced data (Co-authors: Yanmin Sun, Mohamed S. Kamel, Andrew K. C. Wong, Yang Wang, Conference: Pattern Recognition)",39_19
"A Semantic QoS-Aware Discovery Framework for Web Services (Co-authors: Qian Ma, Hao Wang, Ying Li, Guotong Xie, Feng Liu, Conference: ICWS)",69_38
"An FSM-Based Approach for Malicious Code Detection Using the Self-Relocation Gene (Co-authors: Yu Zhang, Tao Li, Jia Sun, Renchao Qin, Conference: ICIC (1))",109_4
"A Novel Greedy Bayesian Network Structure Learning Algorithm for Limited Data (Co-authors: Feng Liu, Fengzhan Tian, QiLiang Zhu, Conference: ADMA)",57_2
"Color and texture fusion: application to aerial image segmentation and GIS updating (Co-authors: Marie-Pierre Dubuisson-Jolly, Alok Gupta, Conference: Image Vision Comput.)",35_1
"SVM Based Classification Mapping for User Navigation (Co-authors: Jing-Ling Yuan, Yang Yu, Xuan Xiao, Xiao-Yan Li, Conference: International Journal of Distributed Sensor Networks)",90_9
"Reading the fine print: what benchmarks don't tell you (Co-authors: Randi J. Rost, Jim Bushnell, David Cooper, Jerry Schneble, Lynn Thorsen-Jensen, Conference: SIGGRAPH)",27_3
"A Flexible Stem-Based Local Search Algorithm for Predicting RNA Secondary Structures Including Pseudoknots (Co-authors: Xiang Chen, Simin He, Dong-Bo Bu, Runsheng Chen, Wen Gao, Conference: BIBE)",23_0
"A feature-based topological optimization for structure design (Co-authors: Yulin Mei, Xiaoming Wang, Gengdong Cheng, Conference: Advances in Engineering Software)",7_10
"An Adaptive Social Network for Information Access: Theoretical and Experimental Results (Co-authors: Bin Yu, Mahadevan Venkatraman, Munindar P. Singh, Conference: Applied Artificial Intelligence)",97_2
"Transaction reordering with application to synchronized scans (Co-authors: Gang Luo, Jeffrey F. Naughton, Curt J. Ellmann, Michael Watzke, Conference: CIKM)",12_0
"On zone-balancing of peer-to-peer networks: analysis of random node join (Co-authors: Xiaoming Wang, Yueping Zhang, Xiafeng Li, Dmitri Loguinov, Conference: SIGMETRICS)",7_3
"Guarded recursive datatype constructors (Co-authors: Hongwei Xi, Chiyan Chen, Gang Chen, Conference: POPL)",108_44
"A constant factor approximation algorithm for k-median clustering with outliers (Co-authors: Ke Chen, Conference: SODA)",58_4
"Supporting Ada 95 Passive Partitions in a Distributed Environment (Co-authors: Frank Mueller, Conference: Ada-Europe)",8_0
"Fast mode decision algorithm for intraprediction in H.264/AVC video coding (Co-authors: Feng Pan, Xiao Lin, Susanto Rahardja, Keng Pang Lim, Z. G. Li, Dajun Wu, Si Wu, Conference: IEEE Trans. Circuits Syst. Video Techn.)",46_0
"Surface and volumetric segmentation of complex 3-D objects using parametric shape models (Co-authors: Alok Gupta, Conference: null)",35_1
"Attractor dimension estimates for two-dimensional shear flows (Co-authors: Charles R. Doering, Xiaoming Wang, Conference: Physica D)",7_4
"Gaits-transferable CPG controller for a snake-like robot (Co-authors: ZhenLi Lu, Shugen Ma, Bin Li, Yuechao Wang, Conference: Science in China Series F: Information Sciences)",11_33
"Player action recognition in broadcast tennis video with applications to semantic analysis of sports game (Co-authors: Guangyu Zhu, Changsheng Xu, Qingming Huang, Wen Gao, Liyuan Xing, Conference: ACM Multimedia)",23_0
"Unsupervised texture classification: Automatically discover and classify texture patterns (Co-authors: Lei Qin, Qingfang Zheng, Shuqiang Jiang, Qingming Huang, Wen Gao, Conference: Image Vision Comput.)",23_0
"Facial Expression Synthesis and Recognition with Intensity Alignment (Co-authors: Hao Wang, Conference: Business and Information Systems Engineering)",69_28
"Business applications of data mining (Co-authors: Chidanand Apte, Bing Liu, Edwin P. D. Pednault, Padhraic Smyth, Conference: Commun. ACM)",94_0
"Judicial Support Systems: Ideas for a Privacy Ontology-Based Case Analyzer (Co-authors: Yan Tang, Robert Meersman, Conference: OTM Workshops)",101_3
"A WELL-POSED NUMERICAL METHOD TO TRACK ISOLATED CONFORMAL MAP SINGULARITIES IN HELE-SHAW FLOW (Co-authors: Gregory Baker, Michael Siegel, Saleh Tanveer, Conference: null)",77_4
"Introduction (Co-authors: Jim Gray, Conference: The Benchmark Handbook)",99_1
"Using Fuzzy Dependency-Guided Attribute Grouping in Feature Selection (Co-authors: Richard Jensen, Qiang Shen, Conference: RSFDGrC)",19_0
"A mixed-signal simulator for VHDL-AMS (Co-authors: Liyi Xiao, Bin Li, Yizheng Ye, Guoyong Huang, JinJun Guo, Peng Zhang, Conference: ASP-DAC)",11_4
"Generalized Cascade Synchronization of Discrete-time Henon-like Map (Co-authors: Yin Li, Biao Li, Yong Chen, Conference: ICYCS)",88_19
"On approximation algorithms of k-connected m-dominating sets in disk graphs (Co-authors: My T. Thai, Ning Zhang, Ravi Tiwari, Xiaochun Xu, Conference: Theor. Comput. Sci.)",21_0
