i1	Sexually Transmitted Infections
i2	Economics and Politics
i3	Cells and Materials
i4	Genomics
i5	The American journal of physiology
i6	Journal of Dental Research
i7	Applied mechanics and materials
i8	IEEE Transactions on Circuits and Systems for Video Technology
i10	Proceedings of the National Academy of Sciences
i11	Proceedings of the seventeenth ACM symposium on Operating systems principles
i12	Carcinogenesis
i13	ACS Nano
i15	IEEE Transactions on Industry Applications
i16	Quarterly Journal of Economics
i17	Physical Review
i18	Biomarkers
i19	Journal of Computational Physics
i20	Wireless and Optical Communications Networks (WOCN). IEEE
i21	Wireless Personal Communications
i22	Zoonoses and Public Health
i23	Nanotechnology
i24	Chemistry of Materials
i25	The Journal of Physical Chemistry C
i26	Nature Neuroscience
i27	International Conference on Advances in Computing, Communication and Control
i28	Pediatric Research
i29	Journal of Neurotrauma
i30	Conference on Lasers and Electro-Optics (CLEO). IEEE
i31	British Journal of Dermatology
i32	PLoS ONE
i33	Indian journal of biochemistry & biophysics
i35	ACM conference on Computer and communications security
i36	Procedia Materials Science
i37	International Conference on Future Computer and Communication. IEEE
i38	 International Conference on Computer Engineering and Technology, IEEE
i39	Water Science & Technology Water Supply
i40	Biology of Reproduction
i41	Geoenvironment: Challenges Ahead 
i42	Applied Physics Letters
i43	HIV Medicine
i44	Conference on Software Engineering and Knowledge Engineering
i45	Cell Reports
i46	Molecular and Cellular Biology
i47	Nature Medicine
i48	ACS Nano
i49	Synthetic Metals
i50	Pharmacological Research
i51	The American journal of medicine
i52	PLoS ONE
i54	Nature Reviews Molecular Cell Biology
i55	Quaternary International
i56	Nature
i57	Intelligent Information Processing
i58	Molecular cell
i60	Journal of Korean medical science
i61	IEEE Transactions on Neural Networks and Learning Systems
i63	The American Naturalist
i64	Archives of Dermatology
i65	Flexible Query Answering Systems. Physica
i66	Molecular Microbiology
i67	Oncotarget
i68	The Journal of Physical Chemistry B
i69	The Journal of Immunology
i70	PeerJ
i71	IEEE Transactions on Systems Man and Cybernetics Part C (Applications and Reviews)
i72	Indian Journal of Agricultural Biochemistry
i73	Journal of Magnetism and Magnetic Materials
i74	Acta Crystallographica Section E Structure Reports Online
i75	Marine Micropaleontology
i76	Plant and Cell Physiology
i77	IEEE Transactions on Fuzzy Systems
i78	Microelectronic Engineering
i79	SBM
i80	Computer and Information Technology. IEEE
i82	SSRN Electronic Journal
i83	Science
i84	Journal of Applied Physiology
i85	The American Journal of Cardiology
i86	Journal of Neurosurgical Anesthesiology
i87	IEEE International Conference on Data Mining Workshops
i88	Journal of Social Inquiry
i90	IEEE Transactions on Industrial Electronics
i91	echnical Reports
i92	Neuroscience
i93	Journal of Clinical Oncology
i94	Molecular Systems Biology
i95	Journal of Dermatological Treatment
i96	Journal of Endocrinology
i97	Nature Nanotechnology
i98	Sociological Review
i99	Expert Systems with Applications
i100	Journal of the National Science Foundation of Sri Lanka
i101	Proceedings of the National Academy of Sciences
i102	The Journal of Neuroscience
