Author,Pairwise Precision,Pairwise Recall,Pairwise F1,ACP,AAP,K Metric,BCubed Precision,BCubed Recall,BCubed F1
katsuaki tanaka,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
jonathan mitchell,0.9548319327731093,0.8408880666049954,0.8942449581898672,0.9886363636363636,0.9886363636363636,0.9886363636363636,0.9592803030303031,0.847517730496454,0.8999423845367531
mohiuddin abdul qader,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ju-seog lee,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
saqib a chaudhry,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
maisara abdul kadir,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
javier mart,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
julian smith iii,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
zheng zhang,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
justin smith,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
jennifer lee,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
jonathan l robinson,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
jin man lee,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ya-ju lee,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
david zhengwen zhang,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
john g robinson,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
kazuo a tanaka,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
jason smith,0.9102844638949672,0.9530355097365406,0.9311695579182988,0.9767441860465116,0.9767441860465116,0.9767441860465116,0.9133192389006343,0.9556277056277055,0.9339945912659595
julia w robinson,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
maria j martin-bautista,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
jim yang lee,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
jonathan w lee,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
kiyoyasu tanaka,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sang bin lee,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ajay kumar,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
keiji tanaka,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lorna j martin,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chunaram choudhary,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sarita robinson,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
anupam kumar gupta,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
m a abdel-kader,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aditya k gupta,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bin li,0.7292794075761891,0.9772900763358778,0.8352634154297831,0.6701680672268908,0.6701680672268908,0.6701680672268908,0.7278283214112092,0.9679322477702317,0.8308820430639561
abdus sattar chaudhry,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
john robinson,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
achintya choudhury,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
james g mitchell,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
nurul alam choudhury,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
yong seung kim,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
luc j martin,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sung-woo kim,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
koichiro tanaka,1.0,0.9705925816462243,0.9850768653918259,1.0,1.0,1.0,1.0,0.970738162925203,0.9851518392319744
ashwin kumar,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
m a a shoukat choudhury,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
james robinson,0.8616874135546335,0.9257057949479941,0.8925501432664756,0.962962962962963,0.962962962962963,0.962962962962963,0.8677248677248676,0.9313186813186815,0.8983977958583467
s arun kumar,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
zhengyou zhang,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sang-tae kim,0.49489795918367346,0.9556650246305419,0.6521008403361345,0.7755102040816326,0.7755102040816326,0.7755102040816326,0.5151020408163265,0.9614285714285714,0.670807384736894
kazuo tanaka,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
se kwon kim,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
zhang zexu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
john mitchell,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
anupam gupta,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
m a kadir,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ajay gupta,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
james pw robinson,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
angshuman roy choudhury,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
anil kumar gupta,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ashwani kumar,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
asterio tanaka,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bing-zhao li,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bing li,0.42954196800350647,0.7521105141980046,0.5467987166968893,0.7203703703703703,0.867283950617284,0.7904211919745389,0.46625514403292173,0.7922734115683282,0.587037222127657
sung woo kim,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
benjamin j robinson,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
jong sung lee,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
jude mitchell,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
abdul kader,0.28743260058067194,0.5620437956204379,0.38035126234906697,0.6743932538050186,0.9576100370218017,0.803620400900498,0.3211181809429619,0.5696831964996119,0.41072148383722135
anew j martin,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
martin c j maiden,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
moustafa abdel kader,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
amitava choudhury,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
shehzad ashraf chaudhry,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lee j martin,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sara y kim,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sungho kim,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
alok choudhary,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
john c mitchell,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
julie p smith,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
penelope robinson,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
moahmed abd el-kader ezzat,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
zhaoyong zhang,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
kanako tanaka,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
zhenying zhang,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
maria jesus martin martinez,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
debbie epstein,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
zuo-feng zhang,1.0,0.9927272727272727,0.9963503649635036,1.0,1.0,1.0,1.0,0.9927537190082645,0.9963636846226328
awanish kumar,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sejoong kim,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
meredith j martin,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
essor jc mitchell,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
li-bing zhang,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
john m smith,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arvind kumar,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
daniel a epstein,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ashwini kumar,0.4935064935064935,0.8976377952755905,0.6368715083798883,0.7954545454545454,0.7954545454545454,0.7954545454545454,0.5375494071146246,0.919254658385093,0.6783956858779914
anupam datta gupta,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
jonathan d mitchell,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
kan tanaka,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
jere h mitchell,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
keita d tanaka,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sungsoo kim,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
anil k gupta,0.5095045799271152,0.9842085235920852,0.6714257901226557,0.7902097902097902,0.7902097902097902,0.7902097902097902,0.5163170163170163,0.986276455026455,0.6778031799481713
ashley james robinson,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
jason a smith,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
jane robinson,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mohammed abdul qadeer,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
joseph ross mitchell,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
amit kumar banerjee,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
jonathan a smith,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
zhongfei,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
jonathan smith,0.8960821786908744,0.9773319437206879,0.9349451645064807,0.9728260869565217,0.9728260869565217,0.9728260869565217,0.8983169705469843,0.9787390029325509,0.9368051549797121
kohichi tanaka,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
abdul shakoor chaudhry,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
